Location_ID,Location_Name,URL_Slug,Image_Filename,Image_Source_Tier,License,Attribution,Rendered_Alt_Template,Upgrade_TODO
SK-0041,Osler,osler,osler-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Osler, Saskatchewan — Osler, Saskatoon Region, Saskatchewan — town of 1,251, 27 km from Saskatoon","Replace with a license-verified photo of Osler, SK (search Wikimedia Commons: ""Osler Saskatchewan"")"
SK-0479,Aberdeen,aberdeen-rm,aberdeen-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Aberdeen, Saskatchewan — Aberdeen, Saskatoon Region, Saskatchewan — rural municipality of 1,461, farmland 42 km from Saskatoon","Replace with a license-verified photo of Aberdeen, SK (search Wikimedia Commons: ""Aberdeen Saskatchewan"")"
SK-0326,Laird,laird-rm,laird-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Laird, Saskatchewan — Laird, Saskatoon Region, Saskatchewan — rural municipality of 1,304, farmland 51 km from Saskatoon","Replace with a license-verified photo of Laird, SK (search Wikimedia Commons: ""Laird Saskatchewan"")"
SK-0046,Waldheim,waldheim,waldheim-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Waldheim, Saskatchewan — Waldheim, Saskatoon Region, Saskatchewan — town of 1,237, 54 km from Saskatoon","Replace with a license-verified photo of Waldheim, SK (search Wikimedia Commons: ""Waldheim Saskatchewan"")"
SK-0048,Delisle,delisle,delisle-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Delisle, Saskatchewan — Delisle, Saskatoon Region, Saskatchewan — town of 1,024, 39 km from Saskatoon","Replace with a license-verified photo of Delisle, SK (search Wikimedia Commons: ""Delisle Saskatchewan"")"
SK-0064,Hague,hague,hague-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Hague, Saskatchewan — Hague, Saskatoon Region, Saskatchewan — town of 889, 45 km from Saskatoon","Replace with a license-verified photo of Hague, SK (search Wikimedia Commons: ""Hague Saskatchewan"")"
SK-0079,Aberdeen,aberdeen,aberdeen-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Aberdeen, Saskatchewan — Aberdeen, Saskatoon Region, Saskatchewan — town of 716, 34 km from Saskatoon","Replace with a license-verified photo of Aberdeen, SK (search Wikimedia Commons: ""Aberdeen Saskatchewan"")"
SK-0078,Hepburn,hepburn,hepburn-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Hepburn, Saskatchewan — Hepburn, Saskatoon Region, Saskatchewan — town of 784, 43 km from Saskatoon","Replace with a license-verified photo of Hepburn, SK (search Wikimedia Commons: ""Hepburn Saskatchewan"")"
SK-0081,Dundurn,dundurn,dundurn-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Dundurn, Saskatchewan — Dundurn, Saskatoon Region, Saskatchewan — town of 675, beside Swamp Lake","Replace with a license-verified photo of Dundurn, SK (search Wikimedia Commons: ""Dundurn Saskatchewan"")"
SK-0497,Asquith,asquith,asquith-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Asquith, Saskatchewan — Asquith, Saskatoon Region, Saskatchewan — town of 624, 37 km from Saskatoon","Replace with a license-verified photo of Asquith, SK (search Wikimedia Commons: ""Asquith Saskatchewan"")"
SK-0551,Montrose,montrose,montrose-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Montrose, Saskatchewan — Montrose, Saskatoon Region, Saskatchewan — rural municipality of 647, farmland 48 km from Saskatoon","Replace with a license-verified photo of Montrose, SK (search Wikimedia Commons: ""Montrose Saskatchewan"")"
SK-0082,Allan,allan,allan-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Allan, Saskatchewan — Allan, Saskatoon Region, Saskatchewan — town of 625, 51 km from Saskatoon","Replace with a license-verified photo of Allan, SK (search Wikimedia Commons: ""Allan Saskatchewan"")"
SK-1103,Grant,grant,grant-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Grant, Saskatchewan — Grant, Saskatoon Region, Saskatchewan — rural municipality of 525, farmland 51 km from Saskatoon","Replace with a license-verified photo of Grant, SK (search Wikimedia Commons: ""Grant Saskatchewan"")"
SK-0098,Hanley,hanley,hanley-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Hanley, Saskatchewan — Hanley, Saskatoon Region, Saskatchewan — town of 540, 59 km from Saskatoon","Replace with a license-verified photo of Hanley, SK (search Wikimedia Commons: ""Hanley Saskatchewan"")"
SK-0628,Perdue,perdue-rm,perdue-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Perdue, Saskatchewan — Perdue, Saskatoon Region, Saskatchewan — rural municipality of 471, farmland 56 km from Saskatoon","Replace with a license-verified photo of Perdue, SK (search Wikimedia Commons: ""Perdue Saskatchewan"")"
SK-0239,Vonda,vonda,vonda-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Vonda, Saskatchewan — Vonda, Saskatoon Region, Saskatchewan — town of 384, beside Vonda Lake","Replace with a license-verified photo of Vonda, SK (search Wikimedia Commons: ""Vonda Saskatchewan"")"
SK-0124,Colonsay,colonsay,colonsay-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Colonsay, Saskatchewan — Colonsay, Saskatoon Region, Saskatchewan — town of 446, 59 km from Saskatoon","Replace with a license-verified photo of Colonsay, SK (search Wikimedia Commons: ""Colonsay Saskatchewan"")"
SK-0153,Radisson,radisson,radisson-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Radisson, Saskatchewan — Radisson, Saskatoon Region, Saskatchewan — town of 466, beside Radisson Lake","Replace with a license-verified photo of Radisson, SK (search Wikimedia Commons: ""Radisson Saskatchewan"")"
SK-0638,Great Bend,great-bend,great-bend-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Great Bend, Saskatchewan — Great Bend, Saskatoon Region, Saskatchewan — rural municipality of 381, on the Turtle Creek","Replace with a license-verified photo of Great Bend, SK (search Wikimedia Commons: ""Great Bend Saskatchewan"")"
SK-0502,Vanscoy,vanscoy,vanscoy-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Vanscoy, Saskatchewan — Vanscoy, Saskatoon Region, Saskatchewan — village of 477, 25 km from Saskatoon","Replace with a license-verified photo of Vanscoy, SK (search Wikimedia Commons: ""Vanscoy Saskatchewan"")"
SK-0087,Clavet,clavet,clavet-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Clavet, Saskatchewan — Clavet, Saskatoon Region, Saskatchewan — village of 450, 26 km from Saskatoon","Replace with a license-verified photo of Clavet, SK (search Wikimedia Commons: ""Clavet Saskatchewan"")"
SK-1218,Colonsay,colonsay-rm,colonsay-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Colonsay, Saskatchewan — Colonsay, Saskatoon Region, Saskatchewan — rural municipality of 260, farmland 55 km from Saskatoon","Replace with a license-verified photo of Colonsay, SK (search Wikimedia Commons: ""Colonsay Saskatchewan"")"
SK-1109,Lost River,lost-river,lost-river-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Lost River, Saskatchewan — Lost River, Saskatoon Region, Saskatchewan — rural municipality of 252, farmland 57 km from Saskatoon","Replace with a license-verified photo of Lost River, SK (search Wikimedia Commons: ""Lost River Saskatchewan"")"
SK-0158,Shields,shields,shields-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Shields, Saskatchewan — Shields, Saskatoon Region, Saskatchewan — resort village of 351, 40 km from Saskatoon","Replace with a license-verified photo of Shields, SK (search Wikimedia Commons: ""Shields Saskatchewan"")"
SK-0132,Borden,borden,borden-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Borden, Saskatchewan — Borden, Saskatoon Region, Saskatchewan — village of 281, 48 km from Saskatoon","Replace with a license-verified photo of Borden, SK (search Wikimedia Commons: ""Borden Saskatchewan"")"
SK-0645,Perdue,perdue,perdue-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Perdue, Saskatchewan — Perdue, Saskatoon Region, Saskatchewan — village of 313, beside Van Scoy Lake","Replace with a license-verified photo of Perdue, SK (search Wikimedia Commons: ""Perdue Saskatchewan"")"
SK-0257,Bradwell,bradwell,bradwell-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Bradwell, Saskatchewan — Bradwell, Saskatoon Region, Saskatchewan — village of 164, beside Bradwell Reservoir","Replace with a license-verified photo of Bradwell, SK (search Wikimedia Commons: ""Bradwell Saskatchewan"")"
SK-0362,Thode,thode,thode-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Thode, Saskatchewan — Thode, Saskatoon Region, Saskatchewan — resort village of 163, beside Blackstrap Reservoir","Replace with a license-verified photo of Thode, SK (search Wikimedia Commons: ""Thode Saskatchewan"")"
SK-0449,Prud'homme,prudhomme,prudhomme-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Prud'homme, Saskatchewan — Prud'homme, Saskatoon Region, Saskatchewan — village of 177, 58 km from Saskatoon","Replace with a license-verified photo of Prud'homme, SK (search Wikimedia Commons: ""Prud'homme Saskatchewan"")"
SK-1236,Kinley,kinley,kinley-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Kinley, Saskatchewan — Kinley, Saskatoon Region, Saskatchewan — village of 60, on the Dry Creek","Replace with a license-verified photo of Kinley, SK (search Wikimedia Commons: ""Kinley Saskatchewan"")"
SK-0001,Regina,regina,regina-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Regina, Saskatchewan — Regina, Regina Region, Saskatchewan — city of 226,404, beside Wascana Lake","Replace with a license-verified photo of Regina, SK (search Wikimedia Commons: ""Regina Saskatchewan"")"
SK-0015,White City,white-city,white-city-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in White City, Saskatchewan — White City, Regina Region, Saskatchewan — town of 3,821, 18 km from Regina","Replace with a license-verified photo of White City, SK (search Wikimedia Commons: ""White City Saskatchewan"")"
SK-0103,Edenwold,edenwold-rm,edenwold-rm-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Edenwold, Saskatchewan — Edenwold, Regina Region, Saskatchewan — rural municipality of 4,466, farmland 28 km from Regina","Replace with a license-verified photo of Edenwold, SK (search Wikimedia Commons: ""Edenwold Saskatchewan"")"
SK-0017,Pilot Butte,pilot-butte,pilot-butte-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Pilot Butte, Saskatchewan — Pilot Butte, Regina Region, Saskatchewan — town of 2,638, 14 km from Regina","Replace with a license-verified photo of Pilot Butte, SK (search Wikimedia Commons: ""Pilot Butte Saskatchewan"")"
SK-0028,Lumsden,lumsden,lumsden-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Lumsden, Saskatchewan — Lumsden, Regina Region, Saskatchewan — town of 1,800, on the Boggy Creek","Replace with a license-verified photo of Lumsden, SK (search Wikimedia Commons: ""Lumsden Saskatchewan"")"
SK-0030,Balgonie,balgonie,balgonie-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Balgonie, Saskatchewan — Balgonie, Regina Region, Saskatchewan — town of 1,756, 25 km from Regina","Replace with a license-verified photo of Balgonie, SK (search Wikimedia Commons: ""Balgonie Saskatchewan"")"
SK-0171,Sherwood,sherwood,sherwood-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Sherwood, Saskatchewan — Sherwood, Regina Region, Saskatchewan — rural municipality of 1,219, farmland 2 km from Regina","Replace with a license-verified photo of Sherwood, SK (search Wikimedia Commons: ""Sherwood Saskatchewan"")"
SK-0169,Lumsden,lumsden-rm,lumsden-rm-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Lumsden, Saskatchewan — Lumsden, Regina Region, Saskatchewan — rural municipality of 1,968, on the Last Mountain Creek","Replace with a license-verified photo of Lumsden, SK (search Wikimedia Commons: ""Lumsden Saskatchewan"")"
SK-0018,Regina Beach,regina-beach,regina-beach-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Regina Beach, Saskatchewan — Regina Beach, Regina Region, Saskatchewan — town of 1,292, 45 km from Regina","Replace with a license-verified photo of Regina Beach, SK (search Wikimedia Commons: ""Regina Beach Saskatchewan"")"
SK-0417,South Qu'Appelle,south-quappelle,south-quappelle-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in South Qu'Appelle, Saskatchewan — South Qu'Appelle, Regina Region, Saskatchewan — rural municipality of 1,231, farmland 44 km from Regina","Replace with a license-verified photo of South Qu'Appelle, SK (search Wikimedia Commons: ""South Qu'Appelle Saskatchewan"")"
SK-0224,Longlaketon,longlaketon,longlaketon-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Longlaketon, Saskatchewan — Longlaketon, Regina Region, Saskatchewan — rural municipality of 1,096, farmland 37 km from Regina","Replace with a license-verified photo of Longlaketon, SK (search Wikimedia Commons: ""Longlaketon Saskatchewan"")"
SK-0172,Lajord,lajord,lajord-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Lajord, Saskatchewan — Lajord, Regina Region, Saskatchewan — rural municipality of 985, farmland 38 km from Regina","Replace with a license-verified photo of Lajord, SK (search Wikimedia Commons: ""Lajord Saskatchewan"")"
SK-0111,Southey,southey,southey-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Southey, Saskatchewan — Southey, Regina Region, Saskatchewan — town of 832, 55 km from Regina","Replace with a license-verified photo of Southey, SK (search Wikimedia Commons: ""Southey Saskatchewan"")"
SK-0080,Milestone,milestone,milestone-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Milestone, Saskatchewan — Milestone, Regina Region, Saskatchewan — town of 682, 52 km from Regina","Replace with a license-verified photo of Milestone, SK (search Wikimedia Commons: ""Milestone Saskatchewan"")"
SK-0495,Francis,francis-rm,francis-rm-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Francis, Saskatchewan — Francis, Regina Region, Saskatchewan — rural municipality of 701, on the Wascana Creek","Replace with a license-verified photo of Francis, SK (search Wikimedia Commons: ""Francis Saskatchewan"")"
SK-0499,Rouleau,rouleau,rouleau-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Rouleau, Saskatchewan — Rouleau, Regina Region, Saskatchewan — town of 505, on the Avonlea Creek","Replace with a license-verified photo of Rouleau, SK (search Wikimedia Commons: ""Rouleau Saskatchewan"")"
SK-0230,Qu'Appelle,quappelle,quappelle-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Qu'Appelle, Saskatchewan — Qu'Appelle, Regina Region, Saskatchewan — town of 625, on the Springbrook Creek","Replace with a license-verified photo of Qu'Appelle, SK (search Wikimedia Commons: ""Qu'Appelle Saskatchewan"")"
SK-0564,Pense,pense-rm,pense-rm-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Pense, Saskatchewan — Pense, Regina Region, Saskatchewan — rural municipality of 441, beside Stony Beach Lake","Replace with a license-verified photo of Pense, SK (search Wikimedia Commons: ""Pense Saskatchewan"")"
SK-0623,Cupar,cupar-rm,cupar-rm-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Cupar, Saskatchewan — Cupar, Regina Region, Saskatchewan — rural municipality of 516, farmland 49 km from Regina","Replace with a license-verified photo of Cupar, SK (search Wikimedia Commons: ""Cupar Saskatchewan"")"
SK-0242,Bratt's Lake,bratts-lake,bratts-lake-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Bratt's Lake, Saskatchewan — Bratt's Lake, Regina Region, Saskatchewan — rural municipality of 328, farmland 33 km from Regina","Replace with a license-verified photo of Bratt's Lake, SK (search Wikimedia Commons: ""Bratt's Lake Saskatchewan"")"
SK-0151,Buena Vista,buena-vista,buena-vista-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Buena Vista, Saskatchewan — Buena Vista, Regina Region, Saskatchewan — village of 646, 44 km from Regina","Replace with a license-verified photo of Buena Vista, SK (search Wikimedia Commons: ""Buena Vista Saskatchewan"")"
SK-0354,Redburn,redburn,redburn-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Redburn, Saskatchewan — Redburn, Regina Region, Saskatchewan — rural municipality of 253, farmland 47 km from Regina","Replace with a license-verified photo of Redburn, SK (search Wikimedia Commons: ""Redburn Saskatchewan"")"
SK-0152,Bethune,bethune,bethune-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Bethune, Saskatchewan — Bethune, Regina Region, Saskatchewan — village of 560, 51 km from Regina","Replace with a license-verified photo of Bethune, SK (search Wikimedia Commons: ""Bethune Saskatchewan"")"
SK-0126,McLean,mclean,mclean-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in McLean, Saskatchewan — McLean, Regina Region, Saskatchewan — village of 392, 39 km from Regina","Replace with a license-verified photo of McLean, SK (search Wikimedia Commons: ""McLean Saskatchewan"")"
SK-0341,Vibank,vibank,vibank-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Vibank, Saskatchewan — Vibank, Regina Region, Saskatchewan — village of 386, 49 km from Regina","Replace with a license-verified photo of Vibank, SK (search Wikimedia Commons: ""Vibank Saskatchewan"")"
SK-0131,Saskatchewan Beach,saskatchewan-beach,saskatchewan-beach-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Saskatchewan Beach, Saskatchewan — Saskatchewan Beach, Regina Region, Saskatchewan — resort village of 322, 44 km from Regina","Replace with a license-verified photo of Saskatchewan Beach, SK (search Wikimedia Commons: ""Saskatchewan Beach Saskatchewan"")"
SK-0238,Avonlea,avonlea,avonlea-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Avonlea, Saskatchewan — Avonlea, Regina Region, Saskatchewan — village of 411, 59 km from Regina","Replace with a license-verified photo of Avonlea, SK (search Wikimedia Commons: ""Avonlea Saskatchewan"")"
SK-0577,Craven,craven,craven-regina-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Craven, Saskatchewan — Craven, Regina Region, Saskatchewan — village of 266, on the Last Mountain Creek","Replace with a license-verified photo of Craven, SK (search Wikimedia Commons: ""Craven Saskatchewan"")"
