Location_ID,Location_Name,Location_Type,Region,Population_2021,Unified_Score,Deferred_Reason
SK-0284,Arbor Creek,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0285,Aspen Ridge,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0286,Erindale,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0287,Evergreen,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0288,Forest Grove,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0289,Silverspring,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0290,Sutherland,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0291,Willowgrove,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0292,Elk Point,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0293,Kensington,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0294,Confederation Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0295,Dundonald,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0296,Fairhaven,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0297,Hampton Village,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0298,Holiday Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0299,Hudson Bay Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0300,Massey Place,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0301,Meadowgreen,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0302,Montgomery Place,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0303,Mount Royal,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0304,Pacific Heights,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0305,Parkridge,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0306,Westview,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0307,Caswell Hill,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0308,City Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0309,Downtown Saskatoon,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0310,King George,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0311,Pleasant Hill,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0312,Riversdale,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0313,Westmount,Neighborhood,Southern Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0314,Kelsey-Woodlawn,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0315,Lawson Heights,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0316,Mayfair,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0317,North Park,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0318,Richmond Heights,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0319,River Heights,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0320,Silverwood Heights,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0321,Ahtahkakoop Cree Nation,First Nations Reserve,Central Saskatchewan,1800,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0322,Carry The Kettle Nakoda Nation,First Nations Reserve,Regina Region,500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0323,Pasqua First Nation,First Nations Reserve,Regina Region,500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0332,Whitecap Dakota First Nation,First Nations Reserve,Saskatoon Region,700,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0366,Al Ritchie,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0367,Cathedral,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0368,Centre Square,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0369,Downtown Regina,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0370,Eastview Regina,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0371,Gladmer Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0372,Heritage,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0373,North Central,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0374,Arcola East,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0375,Glencairn,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0376,Greens on Gardiner,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0377,University Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0378,Argyle Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0379,Coronation Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0380,Northeast Regina,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0381,Uplands,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0382,Albert Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0383,Harbour Landing,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0384,Hillsdale,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0385,Lakeview Regina,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0386,Whitmore Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0387,Dieppe,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0388,McNab,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0389,Normanview,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0390,Normanview West,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0391,Prairie View,Neighborhood,Southwest Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0392,Regent Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0393,Rosemont/Mount Royal,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0394,Sherwood Estates,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0395,Twin Lakes,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0396,Walsh Acres,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0397,Wascana View,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0398,Rochdale Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0399,Hawkstone,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0400,Fairways West,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0401,Maple Ridge,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0402,Woodland Grove,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0403,Garden Ridge,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0404,Windsor Park,Neighborhood,Southern Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0405,Glen Elm Park,Neighborhood,Regina Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0406,Gordon First Nation,First Nations Reserve,Central Saskatchewan,600,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0407,Lucky Man Cree Nation,First Nations Reserve,Saskatoon Region,200,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0408,Muskowekwan First Nation,First Nations Reserve,Central Saskatchewan,500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0409,Peepeekisis Cree Nation,First Nations Reserve,Regina Region,400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0410,Star Blanket Cree Nation,First Nations Reserve,Regina Region,350,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0411,George Gordon First Nation,First Nations Reserve,Central Saskatchewan,550,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0415,Muscowpetung First Nation,First Nations Reserve,Southern Saskatchewan,1600,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0416,Lakeland,Rural Municipality,Northern Saskatchewan,1300,,no CGN-verifiable coordinates
SK-0472,Little Black Bear First Nation,First Nations Reserve,Regina Region,300,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0473,Little Pine First Nation,First Nations Reserve,Northwest Saskatchewan,650,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0474,Okanese First Nation,First Nations Reserve,Regina Region,300,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0475,One Arrow First Nation,First Nations Reserve,Saskatoon Region,400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0536,Cote First Nation,First Nations Reserve,Central Saskatchewan,850,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0537,Day Star First Nation,First Nations Reserve,Central Saskatchewan,350,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0538,Kinistin Saulteaux Nation,First Nations Reserve,Central Saskatchewan,400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0539,Mosquito-Grizzly Bear Head-Lean Man,First Nations Reserve,Northwest Saskatchewan,400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0540,Red Pheasant Cree Nation,First Nations Reserve,Northwest Saskatchewan,500,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0541,Sweetgrass First Nation,First Nations Reserve,Northwest Saskatchewan,400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0542,Zagime Anishinabek (Sakimay),First Nations Reserve,Regina Region,400,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0597,Island Lake First Nation,First Nations Reserve,Central Saskatchewan,300,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0598,Keeseekoose First Nation,First Nations Reserve,Central Saskatchewan,600,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0599,Witchekan Lake First Nation,First Nations Reserve,Central Saskatchewan,350,,no published StatCan census population (First Nations Reserve — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0600,Belanger,Locality,Southwest Saskatchewan,48,32.6,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0601,Browning,Locality,Southeast Saskatchewan,32,36.6,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0602,Cullen,Locality,Southeast Saskatchewan,30,36.8,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0603,Fond du Lac Denesuline First Nation,Locality,Saskatoon Region,49,,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0604,Hatton,Locality,Southwest Saskatchewan,38,32.8,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0605,Mazenod,Locality,Southwest Saskatchewan,46,38.8,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0606,McIntosh Point,Locality,Regina Region,51,,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0607,Red Deer Hill,Locality,Central Saskatchewan,50,39.5,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0608,St. Denis,Locality,Regina Region,52,,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0609,Valjean,Locality,Southwest Saskatchewan,36,38.1,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0610,West Bend,Locality,Southeast Saskatchewan,48,38.9,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0611,Willows,Locality,Southern Saskatchewan,35,38.3,no published StatCan census population (Locality — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0676,Carlton Park,Neighborhood,Central Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0677,Crescent Acres,Neighborhood,Central Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0678,Crescent Heights,Neighborhood,Southern Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0679,East Flat,Neighborhood,Central Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0680,East Hill,Neighborhood,Central Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0681,Goshen,Neighborhood,Central Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0682,Hamilton,Neighborhood,Central Saskatchewan,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
SK-0683,River Heights,Neighborhood,Saskatoon Region,,,no published StatCan census population (Neighborhood — unincorporated locality / reserve / neighborhood; population would have to be invented)
