Slug,Page_URL,Location_Name,Location_Class,Region,Image_Tier,Image_Filename,Alt_Layer1_Geo,Alt_Layer2_Rendered_Template,Image_License,Image_Attribution,Wikidata_QID,Asset_Status
portage-la-prairie-rm,/areas/portage-la-prairie-rm,Portage la Prairie,CSD,Central Plains,region,portage-la-prairie-rm-central-plains-mb.webp,"Portage la Prairie RM, Central Plains Manitoba — stone-free Portage plains farmland between the Assiniboine River and Lake Manitoba","{SERVICE_CATEGORY} in Portage la Prairie, Manitoba — Portage la Prairie RM, Central Plains Manitoba — stone-free Portage plains farmland between the Assiniboine River and Lake Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
sandy-bay-5,/areas/sandy-bay-5,Sandy Bay,CSD,Central Plains,region,sandy-bay-5-central-plains-mb.webp,"Sandy Bay, Central Plains Manitoba — First Nation community on the low-lying south shore of Lake Manitoba","{SERVICE_CATEGORY} in Sandy Bay, Manitoba — Sandy Bay, Central Plains Manitoba — First Nation community on the low-lying south shore of Lake Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-francois-xavier,/areas/st-francois-xavier,St. François Xavier,CSD,Central Plains,region,st-francois-xavier-central-plains-mb.webp,"St. François Xavier, Central Plains Manitoba — White Horse Plain river-lot country on the Assiniboine west of Winnipeg","{SERVICE_CATEGORY} in St. François Xavier, Manitoba — St. François Xavier, Central Plains Manitoba — White Horse Plain river-lot country on the Assiniboine west of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
victoria,/areas/victoria,Victoria,CSD,Central Plains,region,victoria-central-plains-mb.webp,"RM of Victoria, Central Plains Manitoba — grain plains south of the Assiniboine toward the Spruce Woods sandhills at Holland","{SERVICE_CATEGORY} in Victoria, Manitoba — RM of Victoria, Central Plains Manitoba — grain plains south of the Assiniboine toward the Spruce Woods sandhills at Holland",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
alexander,/areas/alexander,Alexander,CSD,Eastman,region,alexander-eastman-mb.webp,"RM of Alexander, Eastman Manitoba — lower Winnipeg River hydro-and-cottage country on the Canadian Shield","{SERVICE_CATEGORY} in Alexander, Manitoba — RM of Alexander, Eastman Manitoba — lower Winnipeg River hydro-and-cottage country on the Canadian Shield",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
beausejour,/areas/beausejour,Beausejour,CSD,Eastman,region,beausejour-eastman-mb.webp,"Beausejour, Eastman Manitoba — service town of the Tyndall stone quarry country northeast of Winnipeg","{SERVICE_CATEGORY} in Beausejour, Manitoba — Beausejour, Eastman Manitoba — service town of the Tyndall stone quarry country northeast of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
blumenort,/areas/blumenort,Blumenort,COMMUNITY,Eastman,region,blumenort-eastman-mb.webp,"Blumenort, Eastman Manitoba — growing Mennonite community north of Steinbach on well-drained ground","{SERVICE_CATEGORY} in Blumenort, Manitoba — Blumenort, Eastman Manitoba — growing Mennonite community north of Steinbach on well-drained ground",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
brokenhead,/areas/brokenhead,Brokenhead,CSD,Eastman,region,brokenhead-eastman-mb.webp,"RM of Brokenhead, Eastman Manitoba — Tyndall stone quarry country around Beausejour on shallow limestone","{SERVICE_CATEGORY} in Brokenhead, Manitoba — RM of Brokenhead, Eastman Manitoba — Tyndall stone quarry country around Beausejour on shallow limestone",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
de-salaberry,/areas/de-salaberry,De Salaberry,CSD,Eastman,region,de-salaberry-eastman-mb.webp,"RM of De Salaberry, Eastman Manitoba — francophone Rat River farming and lakeside country around St. Malo","{SERVICE_CATEGORY} in De Salaberry, Manitoba — RM of De Salaberry, Eastman Manitoba — francophone Rat River farming and lakeside country around St. Malo",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
grunthal,/areas/grunthal,Grunthal,COMMUNITY,Eastman,region,grunthal-eastman-mb.webp,"Grunthal, Eastman Manitoba — Mennonite agricultural community south of Steinbach on well-drained ground","{SERVICE_CATEGORY} in Grunthal, Manitoba — Grunthal, Eastman Manitoba — Mennonite agricultural community south of Steinbach on well-drained ground",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
hanover,/areas/hanover,Hanover,CSD,Eastman,region,hanover-eastman-mb.webp,"RM of Hanover, Eastman Manitoba — Mennonite dairy-belt farmland surrounding Steinbach","{SERVICE_CATEGORY} in Hanover, Manitoba — RM of Hanover, Eastman Manitoba — Mennonite dairy-belt farmland surrounding Steinbach",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
ile-des-chenes,/areas/ile-des-chenes,Île des Chênes,COMMUNITY,Eastman,region,ile-des-chenes-eastman-mb.webp,"Île-des-Chênes, Eastman Manitoba — francophone Red River Valley community south of Winnipeg on gumbo clay","{SERVICE_CATEGORY} in Île des Chênes, Manitoba — Île-des-Chênes, Eastman Manitoba — francophone Red River Valley community south of Winnipeg on gumbo clay",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
la-broquerie,/areas/la-broquerie,La Broquerie,CSD,Eastman,region,la-broquerie-eastman-mb.webp,"RM of La Broquerie, Eastman Manitoba — francophone dairy country on sandy forest-edge ground toward the Sandilands","{SERVICE_CATEGORY} in La Broquerie, Manitoba — RM of La Broquerie, Eastman Manitoba — francophone dairy country on sandy forest-edge ground toward the Sandilands",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
lac-du-bonnet-rm,/areas/lac-du-bonnet-rm,Lac du Bonnet,CSD,Eastman,region,lac-du-bonnet-rm-eastman-mb.webp,"RM of Lac du Bonnet, Eastman Manitoba — Winnipeg River cottage country at the edge of the Canadian Shield","{SERVICE_CATEGORY} in Lac du Bonnet, Manitoba — RM of Lac du Bonnet, Eastman Manitoba — Winnipeg River cottage country at the edge of the Canadian Shield",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
lac-du-bonnet,/areas/lac-du-bonnet,Lac du Bonnet,CSD,Eastman,region,lac-du-bonnet-eastman-mb.webp,"Town of Lac du Bonnet, Eastman Manitoba — Winnipeg River service town at the edge of the Canadian Shield","{SERVICE_CATEGORY} in Lac du Bonnet, Manitoba — Town of Lac du Bonnet, Eastman Manitoba — Winnipeg River service town at the edge of the Canadian Shield",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
landmark,/areas/landmark,Landmark,COMMUNITY,Eastman,region,landmark-eastman-mb.webp,"Landmark, Eastman Manitoba — growing Mennonite family community in Taché on well-drained ground east of Winnipeg","{SERVICE_CATEGORY} in Landmark, Manitoba — Landmark, Eastman Manitoba — growing Mennonite family community in Taché on well-drained ground east of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
lorette,/areas/lorette,Lorette,COMMUNITY,Eastman,region,lorette-eastman-mb.webp,"Lorette, Eastman Manitoba — francophone Seine River commuter community east of Winnipeg","{SERVICE_CATEGORY} in Lorette, Manitoba — Lorette, Eastman Manitoba — francophone Seine River commuter community east of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
mitchell,/areas/mitchell,Mitchell,COMMUNITY,Eastman,region,mitchell-eastman-mb.webp,"Mitchell, Eastman Manitoba — growing Hanover community beside Steinbach on well-drained ground","{SERVICE_CATEGORY} in Mitchell, Manitoba — Mitchell, Eastman Manitoba — growing Hanover community beside Steinbach on well-drained ground",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
niverville,/areas/niverville,Niverville,CSD,Eastman,region,niverville-eastman-mb.webp,"Niverville, Eastman Manitoba — one of Canada's fastest-growing towns on the Red River Valley plain south of Winnipeg","{SERVICE_CATEGORY} in Niverville, Manitoba — Niverville, Eastman Manitoba — one of Canada's fastest-growing towns on the Red River Valley plain south of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
oakbank,/areas/oakbank,Oakbank,COMMUNITY,Eastman,region,oakbank-eastman-mb.webp,"Oakbank, Eastman Manitoba — growing commuter community on Winnipeg's eastern edge in the RM of Springfield","{SERVICE_CATEGORY} in Oakbank, Manitoba — Oakbank, Eastman Manitoba — growing commuter community on Winnipeg's eastern edge in the RM of Springfield",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
pinawa,/areas/pinawa,Pinawa,CSD,Eastman,region,pinawa-eastman-mb.webp,"Pinawa, Eastman Manitoba — planned Whiteshell science town on the Winnipeg River at the Canadian Shield's edge","{SERVICE_CATEGORY} in Pinawa, Manitoba — Pinawa, Eastman Manitoba — planned Whiteshell science town on the Winnipeg River at the Canadian Shield's edge",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
piney,/areas/piney,Piney,CSD,Eastman,region,piney-eastman-mb.webp,"RM of Piney, Eastman Manitoba — Sandilands forest and sandy farm country in the far southeast corner","{SERVICE_CATEGORY} in Piney, Manitoba — RM of Piney, Eastman Manitoba — Sandilands forest and sandy farm country in the far southeast corner",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
powerview-pine-falls,/areas/powerview-pine-falls,Powerview-Pine Falls,CSD,Eastman,region,powerview-pine-falls-eastman-mb.webp,"Powerview-Pine Falls, Eastman Manitoba — lower Winnipeg River mill-and-hydro town near Lake Winnipeg","{SERVICE_CATEGORY} in Powerview-Pine Falls, Manitoba — Powerview-Pine Falls, Eastman Manitoba — lower Winnipeg River mill-and-hydro town near Lake Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
reynolds,/areas/reynolds,Reynolds,CSD,Eastman,region,reynolds-eastman-mb.webp,"RM of Reynolds, Eastman Manitoba — Sandilands forest and sandy farm country along the eastern Trans-Canada","{SERVICE_CATEGORY} in Reynolds, Manitoba — RM of Reynolds, Eastman Manitoba — Sandilands forest and sandy farm country along the eastern Trans-Canada",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
ritchot,/areas/ritchot,Ritchot,CSD,Eastman,region,ritchot-eastman-mb.webp,"RM of Ritchot, Eastman Manitoba — ring-diked Red River communities on the floodplain south of Winnipeg","{SERVICE_CATEGORY} in Ritchot, Manitoba — RM of Ritchot, Eastman Manitoba — ring-diked Red River communities on the floodplain south of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
fort-alexander-3,/areas/fort-alexander-3,Sagkeeng (Fort Alexander),CSD,Eastman,region,fort-alexander-3-eastman-mb.webp,"Sagkeeng (Fort Alexander), Eastman Manitoba — Anishinaabe community at the mouth of the Winnipeg River on Lake Winnipeg","{SERVICE_CATEGORY} in Sagkeeng (Fort Alexander), Manitoba — Sagkeeng (Fort Alexander), Eastman Manitoba — Anishinaabe community at the mouth of the Winnipeg River on Lake Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
springfield,/areas/springfield,Springfield,CSD,Eastman,region,springfield-eastman-mb.webp,"RM of Springfield, Eastman Manitoba — commuter and rural-residential country on Winnipeg's eastern boundary","{SERVICE_CATEGORY} in Springfield, Manitoba — RM of Springfield, Eastman Manitoba — commuter and rural-residential country on Winnipeg's eastern boundary",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-pierre-jolys,/areas/st-pierre-jolys,St-Pierre-Jolys,CSD,Eastman,region,st-pierre-jolys-eastman-mb.webp,"St-Pierre-Jolys, Eastman Manitoba — francophone Rat River village in southeastern Manitoba","{SERVICE_CATEGORY} in St-Pierre-Jolys, Manitoba — St-Pierre-Jolys, Eastman Manitoba — francophone Rat River village in southeastern Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-adolphe,/areas/st-adolphe,St. Adolphe,COMMUNITY,Eastman,region,st-adolphe-eastman-mb.webp,"St. Adolphe, Eastman Manitoba — ring-diked francophone Red River community on the floodplain south of Winnipeg","{SERVICE_CATEGORY} in St. Adolphe, Manitoba — St. Adolphe, Eastman Manitoba — ring-diked francophone Red River community on the floodplain south of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-malo,/areas/st-malo,St. Malo,COMMUNITY,Eastman,region,st-malo-eastman-mb.webp,"St. Malo, Eastman Manitoba — francophone community by St. Malo Provincial Park on the Rat River","{SERVICE_CATEGORY} in St. Malo, Manitoba — St. Malo, Eastman Manitoba — francophone community by St. Malo Provincial Park on the Rat River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
ste-anne-rm,/areas/ste-anne-rm,Ste. Anne,CSD,Eastman,region,ste-anne-rm-eastman-mb.webp,"RM of Ste. Anne, Eastman Manitoba — francophone Dawson Trail farming country on the Seine River east of Winnipeg","{SERVICE_CATEGORY} in Ste. Anne, Manitoba — RM of Ste. Anne, Eastman Manitoba — francophone Dawson Trail farming country on the Seine River east of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
ste-anne,/areas/ste-anne,Ste. Anne,CSD,Eastman,region,ste-anne-eastman-mb.webp,"Ste. Anne, Eastman Manitoba — fast-growing francophone Dawson Trail town on the Seine River east of Winnipeg","{SERVICE_CATEGORY} in Ste. Anne, Manitoba — Ste. Anne, Eastman Manitoba — fast-growing francophone Dawson Trail town on the Seine River east of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
steinbach,/areas/steinbach,Steinbach,CSD,Eastman,region,steinbach-eastman-mb.webp,"Steinbach, Eastman Manitoba — the province's third-largest city on well-drained ground east of the Red River Valley","{SERVICE_CATEGORY} in Steinbach, Manitoba — Steinbach, Eastman Manitoba — the province's third-largest city on well-drained ground east of the Red River Valley",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
stuartburn,/areas/stuartburn,Stuartburn,CSD,Eastman,region,stuartburn-eastman-mb.webp,"RM of Stuartburn, Eastman Manitoba — Ukrainian-heritage farm country on sandy ground in the far southeast at Vita and Gardenton","{SERVICE_CATEGORY} in Stuartburn, Manitoba — RM of Stuartburn, Eastman Manitoba — Ukrainian-heritage farm country on sandy ground in the far southeast at Vita and Gardenton",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
tache,/areas/tache,Taché,CSD,Eastman,region,tache-eastman-mb.webp,"RM of Taché, Eastman Manitoba — Seine River commuter and farming country east of Winnipeg at Lorette and Landmark","{SERVICE_CATEGORY} in Taché, Manitoba — RM of Taché, Eastman Manitoba — Seine River commuter and farming country east of Winnipeg at Lorette and Landmark",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
tyndall,/areas/tyndall,Tyndall,COMMUNITY,Eastman,region,tyndall-eastman-mb.webp,"Tyndall, Eastman Manitoba — quarry community that names Tyndall stone, on shallow limestone northeast of Winnipeg","{SERVICE_CATEGORY} in Tyndall, Manitoba — Tyndall, Eastman Manitoba — quarry community that names Tyndall stone, on shallow limestone northeast of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
victoria-beach,/areas/victoria-beach,Victoria Beach,CSD,Eastman,region,victoria-beach-eastman-mb.webp,"Victoria Beach, Eastman Manitoba — Lake Winnipeg southeast-shore cottage community with its car-free summer village","{SERVICE_CATEGORY} in Victoria Beach, Manitoba — Victoria Beach, Eastman Manitoba — Lake Winnipeg southeast-shore cottage community with its car-free summer village",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
whitemouth,/areas/whitemouth,Whitemouth,CSD,Eastman,region,whitemouth-eastman-mb.webp,"RM of Whitemouth, Eastman Manitoba — Whitemouth River farm-and-forest country on the boreal Shield edge","{SERVICE_CATEGORY} in Whitemouth, Manitoba — RM of Whitemouth, Eastman Manitoba — Whitemouth River farm-and-forest country on the boreal Shield edge",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
arborg,/areas/arborg,Arborg,CSD,Interlake,region,arborg-interlake-mb.webp,"Arborg, Interlake Manitoba — north-Interlake farm-service town on the Icelandic River","{SERVICE_CATEGORY} in Arborg, Manitoba — Arborg, Interlake Manitoba — north-Interlake farm-service town on the Icelandic River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
armstrong,/areas/armstrong,Armstrong,CSD,Interlake,region,armstrong-interlake-mb.webp,"RM of Armstrong, Interlake Manitoba — central-Interlake limestone-plain farm country at Inwood and Narcisse","{SERVICE_CATEGORY} in Armstrong, Manitoba — RM of Armstrong, Interlake Manitoba — central-Interlake limestone-plain farm country at Inwood and Narcisse",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
coldwell,/areas/coldwell,Coldwell,CSD,Interlake,region,coldwell-interlake-mb.webp,"RM of Coldwell, Interlake Manitoba — Lundar and the Lake Manitoba east-shore farm-and-lakeshore country","{SERVICE_CATEGORY} in Coldwell, Manitoba — RM of Coldwell, Interlake Manitoba — Lundar and the Lake Manitoba east-shore farm-and-lakeshore country",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
dunnottar,/areas/dunnottar,Dunnottar,CSD,Interlake,region,dunnottar-interlake-mb.webp,"Dunnottar, Interlake Manitoba — Lake Winnipeg west-shore beach village at Whytewold, Matlock, and Ponemah","{SERVICE_CATEGORY} in Dunnottar, Manitoba — Dunnottar, Interlake Manitoba — Lake Winnipeg west-shore beach village at Whytewold, Matlock, and Ponemah",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
east-st-paul,/areas/east-st-paul,East St. Paul,CSD,Interlake,region,east-st-paul-interlake-mb.webp,"RM of East St. Paul, Interlake Manitoba — estate-lot municipality on Winnipeg's northeast edge on the Red River","{SERVICE_CATEGORY} in East St. Paul, Manitoba — RM of East St. Paul, Interlake Manitoba — estate-lot municipality on Winnipeg's northeast edge on the Red River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
fisher,/areas/fisher,Fisher,CSD,Interlake,region,fisher-interlake-mb.webp,"RM of Fisher, Interlake Manitoba — northern-Interlake farm country around Fisher Branch near the Fisher River","{SERVICE_CATEGORY} in Fisher, Manitoba — RM of Fisher, Interlake Manitoba — northern-Interlake farm country around Fisher Branch near the Fisher River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
gimli,/areas/gimli,Gimli,CSD,Interlake,region,gimli-interlake-mb.webp,"RM of Gimli, Interlake Manitoba — New Iceland fishing-and-cottage town on Lake Winnipeg's west shore","{SERVICE_CATEGORY} in Gimli, Manitoba — RM of Gimli, Interlake Manitoba — New Iceland fishing-and-cottage town on Lake Winnipeg's west shore",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
grahamdale,/areas/grahamdale,Grahamdale,CSD,Interlake,region,grahamdale-interlake-mb.webp,"RM of Grahamdale, Interlake Manitoba — remote cattle country between Lake Manitoba and Lake Winnipeg at Moosehorn and Gypsumville","{SERVICE_CATEGORY} in Grahamdale, Manitoba — RM of Grahamdale, Interlake Manitoba — remote cattle country between Lake Manitoba and Lake Winnipeg at Moosehorn and Gypsumville",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
peguis-1b,/areas/peguis-1b,Peguis,CSD,Interlake,region,peguis-1b-interlake-mb.webp,"Peguis, Interlake Manitoba — Manitoba's largest First Nation on the low-lying Fisher River plain","{SERVICE_CATEGORY} in Peguis, Manitoba — Peguis, Interlake Manitoba — Manitoba's largest First Nation on the low-lying Fisher River plain",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
