Slug,Page_URL,Name,Class,Type,Region,Lat,Lng,Pop2021,SEO_Score,Wikidata_QID,Info_Gain_Element
reynolds,/areas/reynolds,Reynolds,CSD,Rural Municipality,Eastman,49.75,-95.9,1344,54.9,,Trans-Canada corridor-scheduling commitment + Sandilands sandy-forest-soil scoping for a spread-out district.
ritchot,/areas/ritchot,Ritchot,CSD,Rural Municipality,Eastman,49.65,-97.05,7469,63.4,,Ring-dike staging-and-drainage constraints (St. Adolphe / 1997 flood) built into scope — a hyper-local flood angle.
fort-alexander-3,/areas/fort-alexander-3,Sagkeeng (Fort Alexander),CSD,Community,Eastman,50.60889,-96.29556,2127,53.5,,River-mouth (Winnipeg River into Lake Winnipeg) drainage framing + Sagkeeng's Finest cultural marker.
springfield,/areas/springfield,Springfield,CSD,Rural Municipality,Eastman,49.9147,-96.752,16142,64.7,,Two-market (commuter subdivision vs well-and-septic acreage) framing for Winnipeg's eastern fringe.
st-pierre-jolys,/areas/st-pierre-jolys,St-Pierre-Jolys,CSD,Village,Eastman,49.44139,-96.97972,1305,53.9,,Frog Follies francophone-village identity + Rat River drainage scoping.
st-adolphe,/areas/st-adolphe,St. Adolphe,COMMUNITY,Community,Eastman,49.67444,-97.11056,1595,55.2,,Ring-dike-as-island 1997-flood staging-and-drainage scoping — a hyper-local flood angle no template carries.
st-malo,/areas/st-malo,St. Malo,COMMUNITY,Local Urban District,Eastman,49.31667,-96.94861,1227,53.4,,St. Malo Provincial Park reservoir cottage-calendar scoping in a francophone village.
ste-anne-rm,/areas/ste-anne-rm,Ste. Anne,CSD,Rural Municipality,Eastman,49.58,-96.5,5584,61.7,,Dawson Trail (Canada's first all-Canadian route west) heritage + Seine River drainage + francophone-belt framing.
ste-anne,/areas/ste-anne,Ste. Anne,CSD,Town,Eastman,49.66722,-96.65083,2891,57.8,,Near-37%-growth new-build-vs-heritage-core dual scoping in a francophone Dawson Trail town.
steinbach,/areas/steinbach,Steinbach,CSD,City,Eastman,49.52583,-96.68417,17806,67.2,,Well-drained-soils-vs-Winnipeg-gumbo distinction for the southeast's hub — a soils angle competitors miss.
stuartburn,/areas/stuartburn,Stuartburn,CSD,Rural Municipality,Eastman,49.1,-96.35,1731,55.2,,Ukrainian-heritage (Gardenton historic church) + sandy-forest-edge-soils framing for the remote far southeast.
tache,/areas/tache,Taché,CSD,Rural Municipality,Eastman,49.7,-96.75,11916,63.8,,Seine River corridor commuter-plus-acreage two-market framing with francophone Lorette identity.
tyndall,/areas/tyndall,Tyndall,COMMUNITY,Local Urban District,Eastman,50.08278,-96.65833,935,51.6,,Names-a-national-building-stone quarry heritage + shallow-limestone rock-contingency scoping.
victoria-beach,/areas/victoria-beach,Victoria Beach,CSD,Rural Municipality,Eastman,50.7,-96.55,689,51.4,,Car-free-restricted-village summer access scheduling — a genuinely unique service-logistics constraint in Manitoba.
whitemouth,/areas/whitemouth,Whitemouth,CSD,Rural Municipality,Eastman,49.96,-95.98,1630,55.4,,Prairie-soil-to-Shield-granite transition + river-and-forest access scoping near the Whiteshell.
arborg,/areas/arborg,Arborg,CSD,Town,Interlake,50.91667,-97.21667,1279,54.1,,North-Interlake Icelandic-River service-hub role + make-the-drive northern-coverage commitment.
armstrong,/areas/armstrong,Armstrong,CSD,Rural Municipality,Interlake,50.55,-97.5,1967,55.7,,Narcisse Snake Dens limestone-geology tie-in to shallow-bedrock building scoping — a memorable local hook.
coldwell,/areas/coldwell,Coldwell,CSD,Rural Municipality,Interlake,50.7,-98.05,1313,54.5,,Lake Manitoba east-shore exposure (2011-flood coast) + Icelandic-heritage Lundar farm-and-lakeshore scoping.
dunnottar,/areas/dunnottar,Dunnottar,CSD,Village,Interlake,50.475,-96.95,989,51,,Cottage-to-year-round-conversion specialty framing for a fast-growing Lake Winnipeg beach village.
east-st-paul,/areas/east-st-paul,East St. Paul,CSD,Rural Municipality,Interlake,49.98333,-97.03333,9725,64.2,,"Estate-lot-on-gumbo scoping (larger lots, more clay movement) for the metro's prosperous northeast fringe."
fisher,/areas/fisher,Fisher,CSD,Rural Municipality,Interlake,51.05,-97.55,1845,54.2,,Northern-Interlake distance-as-a-plan commitment + Icelandic/Ukrainian farm-district scoping.
gimli,/areas/gimli,Gimli,CSD,Rural Municipality,Interlake,50.63139,-96.99083,6569,61.2,,New Iceland / Crown Royal distillery / Gimli Glider identity + Lake Winnipeg cottage-exposure scoping.
grahamdale,/areas/grahamdale,Grahamdale,CSD,Rural Municipality,Interlake,51.55,-98.5,1278,51.7,,2011 Lake St. Martin flood-zone + remote-cattle-country distance-as-a-plan scoping.
peguis-1b,/areas/peguis-1b,Peguis,CSD,Community,Interlake,51.30417,-97.56389,3053,52.4,,Fisher River flood-zone drainage-first framing for Manitoba's largest First Nation — a hyper-local hazard focus.
rockwood,/areas/rockwood,Rockwood,CSD,Rural Municipality,Interlake,50.2,-97.3,8440,63,,Limestone-plain shallow-bedrock scoping + Oak Hammock Marsh drainage context for a metro-fringe RM.
rosser,/areas/rosser,Rosser,CSD,Rural Municipality,Interlake,49.98,-97.4,1270,56.7,,CentrePort inland-port-plus-farm dual-character framing for a near-metro northwest RM.
selkirk,/areas/selkirk,Selkirk,CSD,City,Interlake,50.14361,-96.88389,10504,66.7,,Steel-city + Red River waterfront riverbank-and-gumbo scoping for the Interlake's gateway city.
st-andrews,/areas/st-andrews,St. Andrews,CSD,Rural Municipality,Interlake,50.25,-96.95,11723,63.7,,River Road heritage-corridor riverfront-estate riverbank scoping (Lower Fort Garry / oldest stone church).
st-clements,/areas/st-clements,St. Clements,CSD,Rural Municipality,Interlake,50.3,-96.7,11586,63.7,,River-to-lake three-market scoping (Lockport riverfront / Grand Beach cottage / rural) in one municipality.
st-laurent,/areas/st-laurent,St. Laurent,CSD,Rural Municipality,Interlake,50.42,-97.93,1542,55.8,,Largest-Métis-community + 2011 Lake Manitoba flood-zone lakeshore-exposure scoping.
stonewall,/areas/stonewall,Stonewall,CSD,Town,Interlake,50.13444,-97.32639,5046,62.3,,Limestone-quarry heritage (Quarry Park lime kilns) + shallow-bedrock rock-contingency scoping.
stony-mountain,/areas/stony-mountain,Stony Mountain,COMMUNITY,Community,Interlake,50.08333,-97.21667,2160,55.9,,Named-for-a-limestone-rise shallow-bedrock scoping for a near-metro commuter community.
teulon,/areas/teulon,Teulon,CSD,Town,Interlake,50.38,-97.26361,1196,55.7,,North-Interlake service-hub role + limestone-plain shallow-bedrock scoping.
warren,/areas/warren,Warren,COMMUNITY,Local Urban District,Interlake,50.13167,-97.54667,818,51.4,,Western-Interlake limestone-plain shallow-bedrock scoping for a near-metro community.
west-st-paul,/areas/west-st-paul,West St. Paul,CSD,Rural Municipality,Interlake,49.98333,-97.15,6682,63.4,,Fastest-growth new-build-on-gumbo framing (grading still settling) for the metro's north fringe.
winnipeg-beach,/areas/winnipeg-beach,Winnipeg Beach,CSD,Town,Interlake,50.50833,-96.96389,1439,55.7,,Cottage-to-year-round-conversion specialty framing for a fast-growing historic resort town.
woodlands,/areas/woodlands,Woodlands,CSD,Rural Municipality,Interlake,50.2,-97.6,3797,58.1,,Western-Interlake limestone-plain shallow-bedrock scoping for a growing farm-and-acreage district.
flin-flon-part,/areas/flin-flon-part,Flin Flon,CSD,City,Northern Manitoba,54.76806,-101.86417,4940,48.2,,No-basement rock-anchored housing + utilidor infrastructure + through-town provincial border — conditions no template covers.
norway-house,/areas/norway-house,Norway House,COMMUNITY,Northern Community,Northern Manitoba,53.99028,-97.81556,5753,47.8,,HBC York-boat inland-headquarters heritage tied to fastest-growing-northern-community new-build demand.
the-pas,/areas/the-pas,The Pas,CSD,Town,Northern Manitoba,53.825,-101.25333,5639,49.9,,Three-century fur-trade-to-rail gateway framing + Clearwater Lake / Trappers' Festival northern context.
thompson,/areas/thompson,Thompson,CSD,City,Northern Manitoba,55.74333,-97.85528,13035,53.2,,1956 purpose-built mining-city origin tied to mid-century housing-renewal + arrive-complete northern logistics promise.
alonsa,/areas/alonsa,Alonsa,CSD,Rural Municipality,Parkland,50.9,-99,1210,53.1,,2011 Lake Manitoba flood-zone drainage framing for west-shore ranch country — a hyper-local hazard focus.
dauphin,/areas/dauphin,Dauphin,CSD,City,Parkland,51.14944,-100.04944,8368,62.9,,Countryfest-weekend scheduling note plus valley snow-load and Vermillion River spring-melt context that generic templates never carry.
dauphin-rm,/areas/dauphin-rm,Dauphin,CSD,Rural Municipality,Parkland,51.19583,-100.0625,2136,54,,Ochre Beach 2013 ice-shove context for Dauphin Lake shoreline work — a hyper-local hazard no generic template mentions.
gilbert-plains,/areas/gilbert-plains,Gilbert Plains,CSD,Rural Municipality,Parkland,51.14972,-100.48778,1420,53.1,,Duck Mountain foothill snow-load framing tied to roof/structure scoping in Valley River country.
grandview,/areas/grandview,Grandview,CSD,Rural Municipality,Parkland,51.17,-100.75,1419,52.8,,Duck Mountain foothill snow-load-as-structural-factor framing for Valley River farm country.
mccreary,/areas/mccreary,McCreary,CSD,Rural Municipality,Parkland,50.76,-99.5,748,51.1,,Escarpment slope-drainage framing at the Riding Mountain north gate — a terrain factor generic pages ignore.
mossey-river,/areas/mossey-river,Mossey River,CSD,Rural Municipality,Parkland,51.65,-99.95,1450,51.6,,Fastest-rural-growth (26.6%) investment angle + Lake Winnipegosis shoreline-exposure scoping.
rossburn,/areas/rossburn,Rossburn,CSD,Rural Municipality,Parkland,50.66722,-100.81222,973,51.5,,Asessippi / Lake of the Prairies cottage-plus-farm dual scoping — recreation logistics no template covers.
ste-rose,/areas/ste-rose,Ste. Rose,CSD,Rural Municipality,Parkland,50.99972,-99.41639,1591,53.9,,"Cattle-operation scheduling FAQ (feeding, calving, sale-day hauling) tied to the auction mart — a working-ranch angle template pages never include."
swan-river,/areas/swan-river,Swan River,CSD,Town,Parkland,52.10639,-101.26778,4049,51.8,,Between-two-mountains valley snow-load framing tied to roof/structure engineering — specific to the Swan Valley basin.
altona,/areas/altona,Altona,CSD,Town,Pembina Valley,49.10389,-97.55833,4267,57.1,,Sunflower-capital / Friesens-industry identity + deep-valley-floor-gumbo scoping.
argyle,/areas/argyle,Argyle,CSD,Rural Municipality,Pembina Valley,49.4,-99.2,994,52.7,,Far-southwest hill-country slope-and-till scoping + make-the-drive (Brandon-closer) coverage.
carman,/areas/carman,Carman,CSD,Town,Pembina Valley,49.49889,-98.00194,3114,57,,Boyne River seed-research farm-town identity + valley-clay + river-drainage scoping.
dufferin,/areas/dufferin,Dufferin,CSD,Rural Municipality,Pembina Valley,49.5,-98,2543,56.5,,Premier-seed-district (U of M research farm) + Boyne River drainage + valley-clay scoping.
lorne,/areas/lorne,Lorne,CSD,Rural Municipality,Pembina Valley,49.3,-98.55,2904,56.2,,Escarpment slope-drainage-and-till-soils scoping (vs valley gumbo) for the Pembina Hills.
louise,/areas/louise,Louise,CSD,Rural Municipality,Pembina Valley,49.15,-98.9,2025,55.2,,Pembina Hills slope-and-till scoping + make-the-drive coverage for the far-southwest valley edge.
montcalm,/areas/montcalm,Montcalm,CSD,Rural Municipality,Pembina Valley,49.15,-97.4,1278,55,,Francophone ring-diked St. Jean Baptiste + deepest-valley-gumbo flood-plain scoping.
morden,/areas/morden,Morden,CSD,Town,Pembina Valley,49.19194,-98.10139,9929,61.5,,Fossil-Discovery-Centre / escarpment-toe identity + new-build-on-valley-clay-with-runoff scoping.
morris,/areas/morris,Morris,CSD,Town,Pembina Valley,49.35417,-97.36306,1975,56.5,,Ring-dike-island 1997-flood staging + Manitoba Stampede identity + deepest-valley-clay scoping.
morris-rm,/areas/morris-rm,Morris,CSD,Rural Municipality,Pembina Valley,49.4,-97.46,3049,57.4,,Deepest-valley-gumbo + flood-plain-drainage farm scoping around the Stampede town.
pembina,/areas/pembina,Pembina,CSD,Rural Municipality,Pembina Valley,49.2,-98.35,2406,54.9,,Pembina gorge / ski-valley dramatic-slope drainage-and-runoff scoping — the most distinctive terrain in the valley.
rhineland,/areas/rhineland,Rhineland,CSD,Rural Municipality,Pembina Valley,49.1,-97.6,5819,60.8,,Neubergthal housebarn heritage + deepest-valley-gumbo scoping in the Mennonite West Reserve.
roland,/areas/roland,Roland,CSD,Rural Municipality,Pembina Valley,49.35,-97.9,1145,54.7,,Pumpkin-Capital identity + central-valley grain-farm clay-and-drainage scoping.
stanley,/areas/stanley,Stanley,CSD,Rural Municipality,Pembina Valley,49.25,-98,8981,61.2,,Mennonite West Reserve productive-farm-belt-wrapping-twin-cities framing with clay-aware farm scoping.
thompson-rm,/areas/thompson-rm,Thompson,CSD,Rural Municipality,Pembina Valley,49.33,-98.25,1518,54.8,,Valley-floor-meets-escarpment transition-zone clay-and-slope scoping at Miami (distinct from northern Thompson).
winkler,/areas/winkler,Winkler,CSD,City,Pembina Valley,49.18167,-97.94028,13745,65.3,,Fastest-growing-manufacturing-city new-build-on-valley-clay framing with commercial-corridor coverage.
brandon,/areas/brandon,Brandon,CSD,City,Westman,49.84694,-99.95222,51313,71.9,,"Valley-floor versus prairie-bench framing of Brandon properties, grounded in the 2011 Assiniboine flood and 18th Street dike context."
carberry,/areas/carberry,Carberry,CSD,Town,Westman,49.86861,-99.35917,1818,56.9,,Genuinely-sandy-soil (Carberry sandhills/Spirit Sands) foundation scoping — distinct from both gumbo and till.
cornwallis,/areas/cornwallis,Cornwallis,CSD,Rural Municipality,Westman,49.79722,-99.84722,4568,59.8,,Sprucewoods-Chater base-corridor context and Brandon Hills slope conditions — RM-level detail generic templates never include.
elton,/areas/elton,Elton,CSD,Rural Municipality,Westman,49.98,-99.87,1276,52.9,,Northeast-Brandon till farm district with Forrest — core-coverage no-surcharge close-in angle.
hamiota,/areas/hamiota,Hamiota,CSD,Municipality,Westman,50.18,-100.62,1234,52.5,,Amalgamated town-plus-farm-district service-centre framing with till scoping in the northwest grain country.
killarney-turtle-mountain,/areas/killarney-turtle-mountain,Killarney - Turtle Mountain,CSD,Rural Municipality,Westman,49.18,-99.66,3520,57.2,,Lake-in-town + Turtle Mountain plateau slope-and-till varied-terrain scoping with Irish-heritage hook.
melita,/areas/melita,Melita,CSD,Town,Westman,49.27139,-100.99694,1041,54.1,,'Banana belt' mild-climate corner identity + Souris River / make-the-drive far-southwest coverage.
minnedosa,/areas/minnedosa,Minnedosa,CSD,Town,Westman,50.24583,-99.84361,2741,57.7,,River-valley terraced-lot slope-drainage scoping + sandy-till-vs-gumbo framing for a Westman valley town.
neepawa,/areas/neepawa,Neepawa,CSD,Town,Westman,50.22889,-99.46556,5685,61.8,,New-boom versus heritage-core split driven by HyLife's 23.3% growth surge — a two-market framing competitors' templates miss.
oakview,/areas/oakview,Oakview,CSD,Municipality,Westman,50.28,-100.08,1928,54.2,,Two-hub (Rapid City + Oak River) valley-country routing with till and river-grade scoping.
pipestone,/areas/pipestone,Pipestone,CSD,Rural Municipality,Westman,49.55,-100.83,1422,53,,Oil-and-farm southwest-corner identity (Reston/Sinclair) + till scoping + make-the-drive far coverage.
riverdale,/areas/riverdale,Riverdale,CSD,Municipality,Westman,50.03,-100.24,1803,53.9,,Lake Wahtopanah reservoir waterside scoping + former CFB Rivers industrial-park heritage — a varied-property angle no template carries.
rosedale,/areas/rosedale,Rosedale,CSD,Rural Municipality,Westman,50.22,-99.47,1524,53.1,,Neepawa-hub-routed till farm surround with Franklin — planned-route rural coverage angle.
shilo,/areas/shilo,Shilo,COMMUNITY,Unincorporated Community,Westman,49.8,-99.63,1419,55,,Military-base posting-cycle scheduling + Spruce Woods sandy-ground scoping — a base-community angle no template carries.
sifton,/areas/sifton,Sifton,CSD,Rural Municipality,Westman,49.83,-100.72,1239,52.6,,Genuinely-sandy Oak Lake ground scoping (vs gumbo and till) plus lake-area drainage angle.
sioux-valley-dakota-nation,/areas/sioux-valley-dakota-nation,Sioux Valley Dakota Nation,COMMUNITY,First Nation,Westman,49.97,-100.5,1057,52.4,,First self-governing First Nation in Manitoba (2014) — respectful self-government coordination framing plus river-valley till scoping.
virden,/areas/virden,Virden,CSD,Town,Westman,49.85083,-100.93028,3118,57.1,,Oil-capital heritage + sandy-till-vs-gumbo frost-heave scoping for a southwest oil-and-farm town.
whitehead,/areas/whitehead,Whitehead,CSD,Rural Municipality,Westman,49.87,-100.28,1679,53.8,,West-of-Brandon till farm district with Alexander village — core-coverage no-surcharge close-in angle.
deer-lodge,/areas/winnipeg/deer-lodge,Deer Lodge,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.88278,-97.23139,3865,,,Deer Lodge Centre landmark anchor + older-St.-James-stock tree-root-on-gumbo scoping.
downtown-winnipeg,/areas/winnipeg/downtown-winnipeg,Downtown Winnipeg,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.89556,-97.13861,66850,65.5,,"Condo-board and heritage-warehouse logistics framing (access, boards, permits for pre-code masonry-and-timber structures) that suburban-template pages cannot offer."
fort-richmond,/areas/winnipeg/fort-richmond,Fort Richmond,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.79222,-97.14306,12290,,,University-of-Manitoba rental-coordination angle + consistent-mid-century-stock pattern knowledge.
headingley,/areas/headingley,Headingley,CSD,Rural Municipality,Winnipeg Metro,49.86972,-97.38556,4331,59.4,,"1993 secession-from-Winnipeg framing plus acreage-servicing (well/septic, multi-building) scoping that generic metro pages never mention."
island-lakes,/areas/winnipeg/island-lakes,Island Lakes,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.8361,-97.0603,7525,,Q14875040,Man-made-lake waterfront grade-and-drainage scoping — a water-adjacent angle unique among prairie-city suburbs.
osborne-village,/areas/winnipeg/osborne-village,Osborne Village,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.8786,-97.1458,12745,,Q652258,Densest-neighbourhood access-and-multi-unit scoping — a staging/coordination angle no suburban template carries.
richmond-west,/areas/winnipeg/richmond-west,Richmond West,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.788,-97.191,8605,,Q48817824,Newer-build-still-on-gumbo framing for a 1980s+ suburb — warranty-era work that still needs movement-aware scoping.
silver-heights,/areas/winnipeg/silver-heights,Silver Heights,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.88167,-97.24944,5405,,,Consistent-1950s-stock pattern knowledge + tree-root-on-gumbo scoping for an early postwar suburb.
st-boniface,/areas/winnipeg/st-boniface,St. Boniface,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.9,-97.1,58520,65.1,,Two-river framing (Red plus the Seine winding through the quarter) applied to soil-moisture and foundation behaviour — a hyper-local condition competitors' templates miss.
st-norbert,/areas/winnipeg/st-norbert,St. Norbert,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.7664,-97.1472,5850,,Q3463066,River-confluence flood-exposure scoping + Trappist-ruins / Red River Resistance heritage — hyper-local to south Winnipeg.
transcona,/areas/winnipeg/transcona,Transcona,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.8956,-97.0053,36280,,Q3537412,"Railway-town-within-a-city framing (CN Transcona Shops, Regent Avenue main street) tied to three-era housing scoping."
tuxedo,/areas/winnipeg/tuxedo,Tuxedo,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.8606,-97.2178,7145,,Q7857175,Estate-lot + mature-tree-root + gumbo interaction scoping for premium properties — a large-lot angle templates ignore.
waverley-heights,/areas/winnipeg/waverley-heights,Waverley Heights,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.80583,-97.16528,5150,,,Consistent-1970s-stock pattern knowledge tied to gumbo-clay scoping in south Winnipeg.
west-kildonan,/areas/winnipeg/west-kildonan,West Kildonan,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.93306,-97.11694,38555,,Q7985621,Seven Oaks 1816 / Red River Settlement heritage tied to mature-postwar-stock-on-gumbo scoping.
wildwood,/areas/winnipeg/wildwood,Wildwood,NEIGHBORHOOD,Neighborhood,Winnipeg Metro,49.847,-97.13,1130,,Q8001550,Radburn greenway / rear-lane access layout changing job staging — a genuinely unique Winnipeg service consideration.
